GEOID,Median_Rent
1400000US06001423200,1396
1400000US06001423300,1123
1400000US06001423400,1641
1400000US06001423500,1402
1400000US06001423601,1774
1400000US06001423602,2050
1400000US06001423700,1827
1400000US06001423800,1697
1400000US06001423901,1806
1400000US06001423902,2073
1400000US06001424001,1627
1400000US06001424002,1601
1400000US06001425101,2149
1400000US06001425102,2633
1400000US06001425103,2738
1400000US06001425104,2194
1400000US06001426100,2910
1400000US06001426200,3444
1400000US06001427100,1908
1400000US06001427200,1681
1400000US06001427300,1861
1400000US06001427600,2126
1400000US06001427700,1980
1400000US06001427800,1700
1400000US06001427900,2040
1400000US06001428000,1829
1400000US06001428100,1748
1400000US06001428200,2214
1400000US06001428301,2516
1400000US06001428302,2171
1400000US06001428400,1932
1400000US06001428500,2288
1400000US06001428600,2602
1400000US06001428700,918
1400000US06001430101,3500
1400000US06001430102,2233
1400000US06001430200,2830
1400000US06001430300,1672
1400000US06001430400,3326
1400000US06001430500,1699
1400000US06001430600,2363
1400000US06001430700,1958
1400000US06001430800,2040
1400000US06001430900,1819
1400000US06001431000,1862
1400000US06001431100,2009
1400000US06001431200,2157
1400000US06001432100,1795
1400000US06001432200,1739
1400000US06001432300,1606
1400000US06001432400,1825
1400000US06001432501,1653
1400000US06001432502,1794
1400000US06001432601,2050
1400000US06001432602,1627
1400000US06001432700,2019
1400000US06001432800,2331
1400000US06001433000,2241
1400000US06001433102,1835
1400000US06001433103,1638
1400000US06001433104,1701
1400000US06001433200,1378
1400000US06001433300,2055
1400000US06001433400,2132
1400000US06001433500,1994
1400000US06001433600,1739
1400000US06001433700,1868
1400000US06001433801,1448
1400000US06001433802,1812
1400000US06001433900,1692
1400000US06001434000,1464
1400000US06001435102,2361
1400000US06001435103,-
1400000US06001435104,2055
1400000US06001435200,1554
1400000US06001435300,1903
1400000US06001435400,1776
1400000US06001435500,1753
1400000US06001435601,1822
1400000US06001435602,1587
1400000US06001435700,1686
1400000US06001435800,2369
1400000US06001435900,2314
1400000US06001436000,1701
1400000US06001436100,1475
1400000US06001436200,1731
1400000US06001436301,1982
